run,temporal_weight,psnr,ssim,sharpness,tde,delta_psnr,delta_ssim,delta_tde
A11_temporal_refiner_peak_check,7.0,30.587795126865124,0.8283253510793049,0.0011035876494133845,0.03067928558836381,0.014726814075121553,0.0006877134243646887,-7.640322049456277e-06
A11_temporal_refiner_peak_check,4.0,30.586863382426156,0.8282349069913227,0.001100903726182878,0.03067911062389612,0.013795069636152846,0.0005972693363824888,-7.815286517144637e-06
A11_temporal_refiner_very_high_tw,2.0,30.585948323898613,0.8281335264444352,0.0010997499746736139,0.030678966020544367,0.012880011108610034,0.0004958887894949138,-7.959889868899145e-06
A11_temporal_refiner_very_high_tw,3.0,30.585795695744945,0.8281884531180064,0.001102335428004153,0.03067989045133193,0.012727382954942357,0.0005508154630661233,-7.035459081334433e-06
A11_temporal_refiner_high_tw,1.5,30.58572560984957,0.8280749926964444,0.001098287629429251,0.030676596363385523,0.012657297059565309,0.0004373550415041061,-1.0329547027742442e-05
A11_temporal_refiner_high_tw,1.0,30.583734347294836,0.8279560367266339,0.0010939087951555848,0.03067799005657435,0.010666034504833277,0.00031839907169362025,-8.935853838914348e-06
A11_temporal_refiner_high_tw,0.75,30.583567240016087,0.8279486099878948,0.001091865944908932,0.030678578093647955,0.010498927226084476,0.00031097233295451776,-8.347816765310462e-06
A11_temporal_refiner_fine,0.5,30.58131734700986,0.8278717517852783,0.0010896827821852638,0.03068110117067893,0.008249034219858231,0.00023411413033802564,-5.824739734334311e-06
A11_temporal_refiner_fine,0.3,30.58047174088214,0.8278444280227026,0.0010895696410443633,0.03068171814084053,0.007403428092136011,0.00020679036776238835,-5.207769572735527e-06
A11_temporal_refiner_fine,0.15,30.57993198573548,0.8278231471776962,0.0010879250447032973,0.030683189630508423,0.006863672945478072,0.00018550952275597776,-3.7362799048430706e-06
A11_temporal_refiner,0.2,30.579873017823775,0.8278267741203308,0.0010885940049774946,0.030683136917650698,0.006804705033772507,0.00018913646539053808,-3.7889927625676945e-06
A11_temporal_refiner_fine,0.2,30.579873017823775,0.8278267741203308,0.0010885940049774946,0.030683136917650698,0.006804705033772507,0.00018913646539053808,-3.7889927625676945e-06
A11_temporal_refiner,0.02,30.578523949163376,0.8277646362781524,0.0010836174566065892,0.03068446684628725,0.005455636373373096,0.00012699862321219335,-2.459064126016791e-06
A11_temporal_refiner,0.1,30.57848398700644,0.8277775357166925,0.00108782593451906,0.03068505451083183,0.005415674216436628,0.00013989806175229713,-1.8713995814344242e-06
A11_temporal_refiner,0.05,30.578393019963606,0.8277695794900257,0.0010856053966563195,0.030684163483480614,0.005324707173603116,0.00013194183508546953,-2.7624269326523287e-06
A11_temporal_refiner,0.0,30.578200340086106,0.8277472654978434,0.0010842345946002752,0.030685707243780298,0.005132027296102848,0.00010962784290313721,-1.2186666329683238e-06
