sequence,frame,oracle_method,oracle_delta_psnr_vs_fugr,oracle_nonfugr_method,oracle_nonfugr_delta_psnr_vs_fugr
000,00000020,Lambda-0.85,0.00017743048180918208,Lambda-0.85,0.00017743048180918208
000,00000040,Lambda-1.05,7.511949568694831e-05,Lambda-1.05,7.511949568694831e-05
000,00000060,Lambda-1.20,0.0003626613840950199,Lambda-1.20,0.0003626613840950199
000,00000080,ResidualClip-c1.20,0.0009229998333672995,ResidualClip-c1.20,0.0009229998333672995
003,00000020,Lambda-0.95,8.63029258901804e-05,Lambda-0.95,8.63029258901804e-05
003,00000040,ResidualMedian-b0.25,0.0018716427286236126,ResidualMedian-b0.25,0.0018716427286236126
003,00000060,Lambda-1.20,0.0009315718578264409,Lambda-1.20,0.0009315718578264409
003,00000080,Lambda-1.20,0.004027908369916844,Lambda-1.20,0.004027908369916844
006,00000020,Lambda-0.95,4.5684238177301495e-05,Lambda-0.95,4.5684238177301495e-05
006,00000040,Lambda-1.20,0.0011893330791039602,Lambda-1.20,0.0011893330791039602
006,00000060,Lambda-1.05,2.7319264514602537e-05,Lambda-1.05,2.7319264514602537e-05
006,00000080,Lambda-1.05,9.469843555720558e-05,Lambda-1.05,9.469843555720558e-05
010,00000020,FUGR-C,0.0,ResidualAtten-t0.020-g0.95,-2.083041870548641e-05
010,00000040,Lambda-1.20,0.0007669016001976559,Lambda-1.20,0.0007669016001976559
010,00000060,ResidualAtten-t0.020-g0.95,3.902863124949363e-05,ResidualAtten-t0.020-g0.95,3.902863124949363e-05
010,00000080,Lambda-1.05,0.00014264751924031316,Lambda-1.05,0.00014264751924031316
011,00000020,Lambda-0.85,0.0002679017479287893,Lambda-0.85,0.0002679017479287893
011,00000040,Lambda-1.05,2.476064210554796e-05,Lambda-1.05,2.476064210554796e-05
011,00000060,Lambda-0.85,0.00045524744713887344,Lambda-0.85,0.00045524744713887344
011,00000080,ResidualClip-c1.20,0.0009562456830813915,ResidualClip-c1.20,0.0009562456830813915
018,00000020,Lambda-0.85,7.178493607540304e-05,Lambda-0.85,7.178493607540304e-05
018,00000040,Lambda-0.95,2.8948432078124142e-05,Lambda-0.95,2.8948432078124142e-05
018,00000060,Lambda-0.85,0.00014309363611886283,Lambda-0.85,0.00014309363611886283
018,00000080,Lambda-0.85,0.00036036100743785937,Lambda-0.85,0.00036036100743785937
020,00000020,ResidualClip-c1.20,0.0019758890803096563,ResidualClip-c1.20,0.0019758890803096563
020,00000040,Lambda-0.85,0.0006629824061938905,Lambda-0.85,0.0006629824061938905
020,00000060,ResidualMedian-b0.25,0.0009240541957815651,ResidualMedian-b0.25,0.0009240541957815651
020,00000080,Lambda-0.85,0.0009222247643414505,Lambda-0.85,0.0009222247643414505
026,00000020,Lambda-1.05,0.00015259050336169366,Lambda-1.05,0.00015259050336169366
026,00000040,Lambda-1.20,0.0008365383212023403,Lambda-1.20,0.0008365383212023403
026,00000060,ResidualMedian-b0.25,0.0009651754538708701,ResidualMedian-b0.25,0.0009651754538708701
026,00000080,Lambda-0.85,0.0009291393439383455,Lambda-0.85,0.0009291393439383455
028,00000020,Lambda-1.20,0.006239558042949511,Lambda-1.20,0.006239558042949511
028,00000040,Lambda-1.20,0.0016650051266680066,Lambda-1.20,0.0016650051266680066
028,00000060,Lambda-1.20,0.0016688334539836092,Lambda-1.20,0.0016688334539836092
028,00000080,Lambda-1.20,0.0026496673489475597,Lambda-1.20,0.0026496673489475597
029,00000020,FUGR-C,0.0,ResidualAtten-t0.020-g0.95,-2.763166595087796e-05
029,00000040,Lambda-0.85,0.0005653569155938953,Lambda-0.85,0.0005653569155938953
029,00000060,Lambda-0.85,0.0006094402274285926,Lambda-0.85,0.0006094402274285926
029,00000080,ResidualClip-c1.20,0.003341561129644788,ResidualClip-c1.20,0.003341561129644788
