sequence,motion,residual_energy,residual_temporal_instability,fugr_delta_psnr_vs_basic,fugr_delta_tde_vs_basic
000,0.22359152138233185,0.0008493369678035378,0.001520770019851625,0.010720819307920237,-6.575882434844971e-05
003,0.24185216426849365,0.0006385735468938947,0.0011810420546680689,0.021481654740881595,-6.850622594356537e-05
006,0.19383136928081512,0.0006488545914180577,0.001160833635367453,0.01695052838729083,-5.875527858734131e-05
010,0.14523543417453766,0.00047522486420348287,0.0008811959414742887,0.018191554045142055,-5.1524490118026733e-05
011,0.20968715846538544,0.0010671780910342932,0.001874676439911127,0.003143836364635888,-3.959238529205322e-05
018,0.1816980391740799,0.001128442701883614,0.0019779065623879433,0.005642955985834419,-3.98978590965271e-05
020,0.16094528138637543,0.0007490441203117371,0.001367613091133535,0.0023935651577389194,-1.413002610206604e-05
026,0.11049308627843857,0.0004780848103109747,0.0008701844490133226,0.02046611779422136,-4.252977669239044e-05
028,0.1572331041097641,0.0004512856248766184,0.0008684626664035022,0.04691254210126061,-9.33036208152771e-05
029,0.1916600912809372,0.0004240845737513155,0.00081051723100245,0.01984841985925101,-4.087202250957489e-05
