policy,sequence,psnr,tde,fugr_psnr,fugr_tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,018,24.6292374452174,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
FUGR-C,020,27.370255110492813,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
FUGR-C,026,32.88681668565649,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
FUGR-C,028,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
FUGR-C,029,34.4297411967602,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
Fixed-Lambda-0.85,018,24.629376266454287,0.061190053820610046,24.6292374452174,0.06118657812476158,0.0001388212368880204,3.475695848464966e-06
Fixed-Lambda-0.85,020,27.371222975183684,0.038647912442684174,27.370255110492813,0.03864799439907074,0.0009678646908710675,-8.195638656616211e-08
Fixed-Lambda-0.85,026,32.88654789076679,0.01962398737668991,32.88681668565649,0.01961958035826683,-0.0002687948896991088,4.407018423080444e-06
Fixed-Lambda-0.85,028,33.545608001466974,0.018510563299059868,33.54929112582312,0.018498504534363747,-0.0036831243561437077,1.2058764696121216e-05
Fixed-Lambda-0.85,029,34.43046060386238,0.015486415475606918,34.4297411967602,0.015481977723538876,0.0007194071021814352,4.437752068042755e-06
Fixed-Lambda-0.95,018,24.629322352048092,0.061187732964754105,24.6292374452174,0.06118657812476158,8.490683069339866e-05,1.1548399925231934e-06
Fixed-Lambda-0.95,020,27.370630762628455,0.038647960871458054,27.370255110492813,0.03864799439907074,0.00037565213564150213,-3.3527612686157227e-08
Fixed-Lambda-0.95,026,32.886838251850264,0.019621046259999275,32.88681668565649,0.01961958035826683,2.1566193773026043e-05,1.4659017324447632e-06
Fixed-Lambda-0.95,028,33.54819593701665,0.01850251480937004,33.54929112582312,0.018498504534363747,-0.0010951888064667514,4.0102750062942505e-06
Fixed-Lambda-0.95,029,34.430127083902285,0.01548345759510994,34.4297411967602,0.015481977723538876,0.0003858871420874266,1.4798715710639954e-06
Fixed-Lambda-1.05,018,24.629115461128265,0.06118922308087349,24.6292374452174,0.06118657812476158,-0.00012198408913377534,2.644956111907959e-06
Fixed-Lambda-1.05,020,27.369828922740545,0.03865128755569458,27.370255110492813,0.03864799439907074,-0.00042618775226799244,3.293156623840332e-06
Fixed-Lambda-1.05,026,32.886686361668936,0.01962248794734478,32.88681668565649,0.01961958035826683,-0.00013032398755541408,2.907589077949524e-06
Fixed-Lambda-1.05,028,33.55025450260496,0.01849873922765255,33.54929112582312,0.018498504534363747,0.0009633767818399974,2.3469328880310059e-07
Fixed-Lambda-1.05,029,34.429210173828274,0.015484859235584736,34.4297411967602,0.015481977723538876,-0.0005310229319235305,2.8815120458602905e-06
Fixed-Lambda-1.20,018,24.628515473356902,0.06119722127914429,24.6292374452174,0.06118657812476158,-0.0007219718604964953,1.0643154382705688e-05
Fixed-Lambda-1.20,020,27.368239909426613,0.038661226630210876,27.370255110492813,0.03864799439907074,-0.002015201066200234,1.3232231140136719e-05
Fixed-Lambda-1.20,026,32.88563436649677,0.019631216302514076,32.88681668565649,0.01961958035826683,-0.0011823191597244431,1.1635944247245789e-05
Fixed-Lambda-1.20,028,33.552346891816256,0.01849946193397045,33.54929112582312,0.018498504534363747,0.003055765993138948,9.57399606704712e-07
Fixed-Lambda-1.20,029,34.426750259865344,0.015493541955947876,34.4297411967602,0.015481977723538876,-0.0029909368948537463,1.1564232409000397e-05
Fixed-ResidualAtten-t0.020-g0.95,018,24.629257581906383,0.061186689883470535,24.6292374452174,0.06118657812476158,2.0136688984706552e-05,1.1175870895385742e-07
Fixed-ResidualAtten-t0.020-g0.95,020,27.370336580531788,0.03864787891507149,27.370255110492813,0.03864799439907074,8.147003897462923e-05,-1.1548399925231934e-07
Fixed-ResidualAtten-t0.020-g0.95,026,32.88676511255464,0.019619861617684364,32.88681668565649,0.01961958035826683,-5.157310184955577e-05,2.812594175338745e-07
Fixed-ResidualAtten-t0.020-g0.95,028,33.54902012868004,0.01849924772977829,33.54929112582312,0.018498504534363747,-0.00027099714307610157,7.431954145431519e-07
Fixed-ResidualAtten-t0.020-g0.95,029,34.42983517097174,0.01548212394118309,34.4297411967602,0.015481977723538876,9.397421154488939e-05,1.4621764421463013e-07
Fixed-ResidualAtten-t0.010-g0.95,018,24.629269023880553,0.06118682026863098,24.6292374452174,0.06118657812476158,3.157866315461888e-05,2.421438694000244e-07
Fixed-ResidualAtten-t0.010-g0.95,020,27.37039182047442,0.038647834211587906,27.370255110492813,0.03864799439907074,0.00013670998160719705,-1.601874828338623e-07
Fixed-ResidualAtten-t0.010-g0.95,026,32.886742863526536,0.01962004229426384,32.88681668565649,0.01961958035826683,-7.382212995565851e-05,4.6193599700927734e-07
