split,sequence,frame,method,psnr,ssim,sharpness
calibration,000,00000020,FUGR-C,27.33649900109118,0.7373737692832947,0.0014340576017275453
calibration,000,00000040,FUGR-C,27.006627421968872,0.7757394711176554,0.0016195357311517
calibration,000,00000060,FUGR-C,27.384174317137607,0.7835155526796976,0.0019899161998182535
calibration,000,00000080,FUGR-C,27.13094473888505,0.7797750035921732,0.001816233736462891
calibration,003,00000020,FUGR-C,31.44090661428997,0.9133074084917704,0.0018536755815148354
calibration,003,00000040,FUGR-C,30.59401392133832,0.9028745492299398,0.0016104058595374227
calibration,003,00000060,FUGR-C,29.96797356278058,0.8901656071345011,0.0020337041933089495
calibration,003,00000080,FUGR-C,29.323673706064373,0.8797687689463297,0.0024936010595411062
calibration,006,00000020,FUGR-C,30.986371520948186,0.8515528043111166,0.0007267528562806547
calibration,006,00000040,FUGR-C,29.821062672124107,0.8261005878448486,0.0008621991728432477
calibration,006,00000060,FUGR-C,30.251030067003896,0.8333649436632792,0.0008437603246420622
calibration,006,00000080,FUGR-C,27.39789236104589,0.7544846137364706,0.0014576568501070142
calibration,010,00000020,FUGR-C,32.083644062946675,0.8895513415336609,0.0008029616437852383
calibration,010,00000040,FUGR-C,31.340216542150433,0.8724625507990519,0.0007564236875623465
calibration,010,00000060,FUGR-C,30.917068974871604,0.8667839765548706,0.0007506170659326017
calibration,010,00000080,FUGR-C,31.282433418429783,0.8775854508082072,0.0007777555147185922
calibration,011,00000020,FUGR-C,24.56526715416688,0.6900418202082316,0.0021166419610381126
calibration,011,00000040,FUGR-C,23.88936214713885,0.659129003683726,0.0021296802442520857
calibration,011,00000060,FUGR-C,22.985238843639802,0.6168327728907267,0.0020672136452049017
calibration,011,00000080,FUGR-C,22.739565936699687,0.6184427340825399,0.0018887663027271628
calibration,000,00000020,ControlNet-FUGR,21.191851497396065,0.518045961856842,0.0009760935208760202
calibration,000,00000040,ControlNet-FUGR,20.58358016018289,0.531452457110087,0.001196320285089314
calibration,000,00000060,ControlNet-FUGR,20.338844107769837,0.5317176183064779,0.0013025130610913038
calibration,000,00000080,ControlNet-FUGR,20.359063256736984,0.5384962360064188,0.0012071187375113368
calibration,003,00000020,ControlNet-FUGR,22.484741893604028,0.7122291723887125,0.0010422065388411283
calibration,003,00000040,ControlNet-FUGR,22.578577002359804,0.7104429801305135,0.0009385131415911019
calibration,003,00000060,ControlNet-FUGR,22.062690310312174,0.6838924884796143,0.0011557260295376182
calibration,003,00000080,ControlNet-FUGR,21.40854787501315,0.6575731833775839,0.0016797741409391165
calibration,006,00000020,ControlNet-FUGR,23.79103871318521,0.6624594132105509,0.0005556420073844492
calibration,006,00000040,ControlNet-FUGR,22.874792074135243,0.6104065179824829,0.0006284618866629899
calibration,006,00000060,ControlNet-FUGR,23.202620866532705,0.6204725305239359,0.0005863240803591907
calibration,006,00000080,ControlNet-FUGR,20.822702022295406,0.502142588297526,0.0011177610140293837
calibration,010,00000020,ControlNet-FUGR,25.197604240154632,0.7387901743253072,0.0005073839565739036
calibration,010,00000040,ControlNet-FUGR,24.554914109268992,0.7037202914555868,0.0005597364506684244
calibration,010,00000060,ControlNet-FUGR,24.742776169412345,0.7090350389480591,0.0005063010030426085
calibration,010,00000080,ControlNet-FUGR,24.66891158516482,0.7124299804369608,0.0005254285060800612
calibration,011,00000020,ControlNet-FUGR,19.403101017940642,0.4552909731864929,0.001448485185392201
calibration,011,00000040,ControlNet-FUGR,19.00240888397685,0.42310372988382977,0.0016118130879476666
calibration,011,00000060,ControlNet-FUGR,18.746470121073948,0.3945892850557963,0.0014783572405576706
calibration,011,00000080,ControlNet-FUGR,18.739580928111014,0.4059193233648936,0.0013293875381350517
calibration,000,00000020,BasicVSR,27.32845161076756,0.7371783057848612,0.0014153587399050593
calibration,000,00000040,BasicVSR,26.993668472045012,0.7754594683647156,0.0015974274137988687
calibration,000,00000060,BasicVSR,27.36698848269679,0.7831323345502218,0.0019827871583402157
