split,sequence,method,num_frames,psnr,ssim,sharpness,tde
calibration,000,FUGR-C,4,27.214561369770678,0.7691009491682052,0.0017149358172900975,0.040728095918893814
calibration,003,FUGR-C,4,30.331641951118307,0.8965290834506352,0.0019978466734755784,0.02634090930223465
calibration,006,FUGR-C,4,29.61408915528052,0.8163757373889288,0.0009725923009682447,0.029686754569411278
calibration,010,FUGR-C,4,31.40584074959962,0.8765958299239476,0.0007719394779996946,0.021826589480042458
calibration,011,FUGR-C,4,23.544858520411307,0.6461115827163061,0.0020505755383055657,0.06459752470254898
calibration,000,ControlNet-FUGR,4,20.618334755521445,0.5299280683199564,0.0011705114011419937,0.09144725650548935
calibration,003,ControlNet-FUGR,4,22.13363927032229,0.6910344560941061,0.0012040549627272412,0.07612888514995575
calibration,006,ControlNet-FUGR,4,22.67278841903714,0.5988702625036239,0.0007220472471090034,0.0708254873752594
calibration,010,ControlNet-FUGR,4,24.7910515260002,0.7159938712914785,0.0005247124790912494,0.05430625006556511
calibration,011,ControlNet-FUGR,4,18.972890237775616,0.4197258278727532,0.0014670107630081475,0.11464264988899231
calibration,000,BasicVSR,4,27.203840550462758,0.7688583085934321,0.0017011447926051915,0.040793854743242264
calibration,003,BasicVSR,4,30.310160296377425,0.8962135712305704,0.0020202170126140118,0.026409415528178215
calibration,006,BasicVSR,4,29.59713862689323,0.8161119769016901,0.0009753918857313693,0.02974550984799862
calibration,010,BasicVSR,4,31.387649195554477,0.8762688686450323,0.0007775286212563515,0.021878113970160484
calibration,011,BasicVSR,4,23.54171468404667,0.6461338549852371,0.0020300742762628943,0.06463711708784103
test,018,FUGR-C,4,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657812476158
test,020,FUGR-C,4,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.03864799439907074
test,026,FUGR-C,4,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683
test,028,FUGR-C,4,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747
test,029,FUGR-C,4,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481977723538876
test,018,ControlNet-FUGR,4,19.199586809339156,0.33940865596135456,0.0013066766550764441,0.11677666753530502
test,020,ControlNet-FUGR,4,21.49123488820258,0.5822085539499919,0.0008179112192010507,0.08035042881965637
test,026,ControlNet-FUGR,4,24.917863750293023,0.7054219643274944,0.000471821564133279,0.053578972816467285
test,028,ControlNet-FUGR,4,24.442122414071765,0.7446321845054626,0.0007870748813729733,0.056943345814943314
test,029,ControlNet-FUGR,4,25.274015563772508,0.7741524328788122,0.0005270882465993054,0.05155092850327492
test,018,BasicVSR,4,24.623594489231564,0.6259215474128723,0.0015185684897005558,0.06122647598385811
test,020,BasicVSR,4,27.367861545335074,0.7869731187820435,0.0011596731492318213,0.038662124425172806
test,026,BasicVSR,4,32.86635056786227,0.8780875653028489,0.0007598828087793663,0.01966211013495922
test,028,BasicVSR,4,33.50237858372186,0.9105625847975414,0.0011877951910719275,0.018591808155179024
test,029,BasicVSR,4,34.409892776900946,0.9359136621157329,0.0007072614971548319,0.01552284974604845
calibration,000,RGB-HF-b0.05-s0.3,4,27.214622056339778,0.7691013813018798,0.0016215732612181455,0.04072822257876396
calibration,003,RGB-HF-b0.05-s0.3,4,30.331796947742525,0.8965338716904322,0.001900018862215802,0.026340685784816742
calibration,006,RGB-HF-b0.05-s0.3,4,29.614154337525633,0.8163781017065049,0.000911535244085826,0.029686829075217247
calibration,010,RGB-HF-b0.05-s0.3,4,31.405875311574043,0.8765987455844879,0.0007233747601276264,0.02182679809629917
calibration,011,RGB-HF-b0.05-s0.3,4,23.544883166601853,0.6461078524589539,0.001953813771251589,0.06459769606590271
calibration,000,RGB-HF-b0.05-s0.4,4,27.215170218766733,0.7691018432378769,0.001621581322979182,0.040729422122240067
calibration,003,RGB-HF-b0.05-s0.4,4,30.333203356540672,0.8965769410133362,0.0018996829458046705,0.026338623836636543
calibration,006,RGB-HF-b0.05-s0.4,4,29.614737999103443,0.816391333937645,0.0009110984392464161,0.02968755178153515
calibration,010,RGB-HF-b0.05-s0.4,4,31.406168345645185,0.8766243308782578,0.0007222030399134383,0.021828845143318176
calibration,011,RGB-HF-b0.05-s0.4,4,23.545096832885466,0.6460722386837006,0.0019540319917723536,0.06459940969944
calibration,000,RGB-HF-b0.05-s0.5,4,27.216017125769483,0.7690941443045934,0.0016222910780925304,0.04073178768157959
calibration,003,RGB-HF-b0.05-s0.5,4,30.33549183711491,0.8966444432735443,0.0019001250038854778,0.02633519470691681
calibration,006,RGB-HF-b0.05-s0.5,4,29.615644578078037,0.8164070049921671,0.000911649753106758,0.02968897484242916
calibration,010,RGB-HF-b0.05-s0.5,4,31.40652264578948,0.876660684744517,0.0007223752036225051,0.021832676604390144
calibration,011,RGB-HF-b0.05-s0.5,4,23.545415261691538,0.6460019648075104,0.001954686304088682,0.06460268050432205
calibration,000,RGB-HF-b0.05-s0.8,4,27.21718348995459,0.7689977933963139,0.0016251035849563777,0.04074056074023247
calibration,003,RGB-HF-b0.05-s0.8,4,30.339333150123892,0.8967404067516327,0.0019007835362572223,0.026330217719078064
calibration,006,RGB-HF-b0.05-s0.8,4,29.616904785676326,0.8163703233003616,0.0009159803157672286,0.029694482684135437
calibration,010,RGB-HF-b0.05-s0.8,4,31.406291800009843,0.8766851872205734,0.0007244921725941822,0.02184404991567135
calibration,011,RGB-HF-b0.05-s0.8,4,23.545744764168777,0.6457488834857941,0.001955122163053602,0.06461307406425476
calibration,000,RGB-HF-b0.10-s0.3,4,27.214681917779867,0.7691015700499217,0.0016217080410569906,0.04072834923863411
calibration,003,RGB-HF-b0.10-s0.3,4,30.331949652470815,0.896538699666659,0.0019000629836227745,0.02634046971797943
calibration,006,RGB-HF-b0.10-s0.3,4,29.614220519783757,0.8163795421520869,0.0009116826840909198,0.02968689613044262
calibration,010,RGB-HF-b0.10-s0.3,4,31.40590983269099,0.8766017903884252,0.0007232810166897252,0.02182701788842678
calibration,011,RGB-HF-b0.10-s0.3,4,23.544907217217585,0.6461043258508047,0.0019541304500307888,0.06459785997867584
calibration,000,RGB-HF-b0.10-s0.4,4,27.21573201124662,0.7691007653872172,0.0016215899377129972,0.04073074460029602
calibration,003,RGB-HF-b0.10-s0.4,4,30.33468224347005,0.8966225981712342,0.001899695344036445,0.02633635699748993
calibration,006,RGB-HF-b0.10-s0.4,4,29.615344675991963,0.8164046903451283,0.0009110976388910785,0.029688343405723572
calibration,010,RGB-HF-b0.10-s0.4,4,31.40644863517846,0.8766507357358934,0.000722217169823125,0.021831100806593895
calibration,011,RGB-HF-b0.10-s0.4,4,23.545313925019126,0.6460315535465876,0.001954044826561585,0.06460130959749222
calibration,000,RGB-HF-b0.10-s0.5,4,27.217163983956112,0.7690759698549906,0.0016211960755754262,0.04073548689484596
calibration,003,RGB-HF-b0.10-s0.5,4,30.338782441888256,0.8967473457256954,0.0018986547947861254,0.0263295229524374
calibration,006,RGB-HF-b0.10-s0.5,4,29.616892907919222,0.8164271761973699,0.0009114177664741874,0.029691210016608238
calibration,010,RGB-HF-b0.10-s0.5,4,31.40687387913622,0.8767162213722864,0.0007221054547699168,0.021838778629899025
calibration,011,RGB-HF-b0.10-s0.5,4,23.545808512653263,0.6458832422892253,0.0019528869888745248,0.06460785120725632
calibration,000,RGB-HF-b0.10-s0.8,4,27.217734753954183,0.7688238074382147,0.001583550707437098,0.04075728729367256
calibration,003,RGB-HF-b0.10-s0.8,4,30.34331044158825,0.8968766033649445,0.0018547368817962706,0.026324162259697914
