method,num_frames,psnr,ssim,laplacian_sharpness,tde
RGB-HF-b0.30-s0.5,40,29.505218075189227,0.8142669409513473,0.0011749934958061204,0.03367364158233006
RGB-HF-b0.60-s0.4,40,29.504920577526576,0.8143242001533508,0.0011946916158194654,0.03366787470877171
RGB-HF-b0.40-s0.5,40,29.50465942699635,0.8141793092091877,0.0011444718620623462,0.03368449204911789
RGB-HF-b0.50-s0.4,40,29.504272247885933,0.8143332888682682,0.0012042505171848462,0.033666107493142285
RGB-HF-b0.20-s0.5,40,29.504232231044615,0.8143144885698954,0.0012026656986563466,0.03366714871178071
RGB-HF-b0.10-s0.8,40,29.50355939301383,0.8141788020730019,0.0011939874530071393,0.03367523125683268
RGB-HF-b0.40-s0.4,40,29.50339720332919,0.8143368711074194,0.0012119974970119074,0.03366478964065513
RGB-HF-b0.50-s0.5,40,29.502555433280065,0.8140514984726905,0.001113669192272937,0.03370021979014079
RGB-HF-b0.30-s0.4,40,29.50229598538126,0.8143342648943264,0.0012167092689196579,0.03366380473598838
RGB-HF-b0.05-s0.8,40,29.50186227022574,0.8142648319403332,0.0012210553919430821,0.03366697120169799
RGB-HF-b0.10-s0.5,40,29.501703023406208,0.8143223504225412,0.0012180410369182937,0.03366381715362271
RGB-HF-b0.20-s0.4,40,29.500967368685338,0.8143256117900213,0.0012182571197627112,0.0336629897976915
RGB-HF-b0.05-s0.5,40,29.49986037397697,0.8143111988902092,0.0012187716696644203,0.033662623291214305
RGB-MaskHF-b0.60-s0.8-t0.03,40,29.499764845878993,0.814272427558899,0.0012222257690154947,0.03366440469399094
RGB-MaskHF-b0.50-s0.8-t0.03,40,29.499503085518523,0.8142767950892449,0.0012231788190547378,0.033663861298312746
RGB-HF-b0.10-s0.4,40,29.499413326725424,0.8143108114600182,0.001218357920879498,0.0336622206804653
RGB-HF-b0.20-s0.8,40,29.499348062213905,0.8138236646850903,0.0011185776129423175,0.03371282952527206
RGB-MaskHF-b0.40-s0.8-t0.03,40,29.499203927530466,0.8142806048194566,0.0012237457514856942,0.03366336319595575
RGB-HF-b0.60-s0.5,40,29.49891052000902,0.8138836224873861,0.0010835561879503075,0.033721098148574435
RGB-MaskHF-b0.30-s0.8-t0.03,40,29.498867743540263,0.8142838517824809,0.001223883792408742,0.033662876983483636
RGB-MaskHF-b0.60-s0.5-t0.03,40,29.498747261390218,0.8142934372027716,0.0012187320375232958,0.033662279477963845
RGB-HF-b0.60-s0.3,40,29.498694930414114,0.814303896824519,0.0012183792772702874,0.03366184998303652
RGB-MaskHF-b0.50-s0.5-t0.03,40,29.49857691037699,0.8142931878566741,0.0012187291649752297,0.033662141487002376
RGB-HF-b0.05-s0.4,40,29.49855124188905,0.8143013904492061,0.0012183537575765513,0.03366183253626029
RGB-HF-b0.50-s0.3,40,29.498522881181145,0.8143015936017036,0.001218467937724199,0.03366178842261434
RGB-MaskHF-b0.20-s0.8-t0.03,40,29.49849344398897,0.8142865722378094,0.0012238714451086707,0.03366239930813512
RGB-MaskHF-b0.40-s0.5-t0.03,40,29.49840021023732,0.814292759199937,0.0012187246393295936,0.03366200253367424
RGB-HF-b0.40-s0.3,40,29.498348945505747,0.8142994826038678,0.0012185233485070058,0.03366172043606639
