split,method,num_sequences,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_sharpness_vs_fugr,delta_edge_psnr_vs_fugr,delta_flat_psnr_vs_fugr,delta_hf_mae_vs_fugr,delta_tde_vs_fugr
all40,BasicVSR,10,40,29.481058131638626,0.8141045058767,0.001283753772440832,24.568729955793707,33.111062321422374,0.014576111675705761,0.03371293836583694,-0.016575199374415206,-0.00018563121557235718,-3.588591061998072e-06,-0.017175775719167063,-0.015629630483445567,1.8751411698759296e-05,5.148795122901506e-05
all40,FUGR-C,10,40,29.49763333101304,0.8142901370922724,0.0012873423635028302,24.585905731512874,33.12669195190582,0.014557360264007002,0.03366145041460793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all40,ControlNet-FUGR,10,40,22.451352763433572,0.6101376277705033,0.0008998909419460688,18.310669316137236,24.784261030106727,0.017133142182137816,0.07665508687496185,-7.046280567579469,-0.2041525093217691,-0.0003874514215567614,-6.2752364153756375,-8.342430921799092,0.0025757819181308136,0.04299363646035392
all40,FreqFusion-selected-b0.60-s0.4,10,40,29.504920577526576,0.8143242001533508,0.0011946916158194654,24.588456352265027,33.14616832708116,0.014515964698512107,0.03366787470877171,0.00728724651353474,3.40630610784487e-05,-9.265074768336477e-05,0.0025506207521530655,0.019476375175344174,-4.139556549489533e-05,6.424294163781541e-06
all40,FreqFusion-expandedbest-b0.30-s0.5,10,40,29.50521807518923,0.8142669409513473,0.0011749934958061204,24.58745189086233,33.14975868312568,0.014508940430823713,0.03367364158233006,0.007584744176188707,-2.319614092505251e-05,-0.0001123488676967098,0.001546159349455678,0.023066731219863357,-4.841983318328892e-05,1.2191167722136464e-05
calibration,BasicVSR,5,20,28.408100670666915,0.8007173160711926,0.0015008713176939636,23.542727145602477,31.86935442387059,0.01600800361484289,0.03669280186295509,-0.014097678569168437,-0.00022532045841194837,-7.066439138725834e-07,-0.01290441885032223,-0.017663836200135563,2.115718089044233e-05,5.682694415251599e-05
calibration,FUGR-C,5,20,28.422198349236083,0.8009426365296045,0.0015015779616078361,23.5556315644528,31.887018260070725,0.01598684643395245,0.03663597491880258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calibration,ControlNet-FUGR,5,20,21.83774084173134,0.5911104972163836,0.001017667370615527,17.762582207952402,24.051025587694532,0.018823722330853342,0.08147010455528896,-6.5844575075047445,-0.20983213931322087,-0.00048391059099230907,-5.793049356500397,-7.835992672376193,0.002836875896900893,0.04483412963648638
calibration,FreqFusion-selected-b0.60-s0.4,5,20,28.42709093013072,0.800963314374288,0.0013918298674980179,23.55541782511139,31.903299373542957,0.01594754201360047,0.03664768189191818,0.004892580894637177,2.06778446835143e-05,-0.00010974809410981825,-0.00021373934140811457,0.016281113472231823,-3.930442035197934e-05,1.1706973115602204e-05
calibration,FreqFusion-expandedbest-b0.30-s0.5,5,20,28.42690193267307,0.8008974333604175,0.001367812423268333,23.55380402485308,31.906253485169962,0.015941524971276523,0.03665564022958279,0.00470358343698507,-4.520316918699141e-05,-0.00013376553833950307,-0.0018275395997200405,0.01923522509923714,-4.5321462675926294e-05,1.9665310780209166e-05
test,BasicVSR,5,20,30.554015592610348,0.8274916956822078,0.0010666362271877007,25.594732765984936,34.35277021897416,0.01314421973656863,0.03073307486871878,-0.01905272017965487,-0.00014594197273243292,-6.470538210123777e-06,-0.021447132588011897,-0.01359542476675557,1.6345642507076263e-05,4.614895830551413e-05
test,FUGR-C,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,25.61617989857295,34.36636564374091,0.013127874094061553,0.030686925910413266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,ControlNet-FUGR,5,20,23.064964685135806,0.6291647583246232,0.0007821145132766105,18.85875642432207,25.517496472518925,0.015442562033422291,0.07184006919463475,-7.508103627654197,-0.1984728793303171,-0.0002909922521212139,-6.757423474250878,-8.848869171221988,0.002314687939360738,0.04115314328422148
test,FreqFusion-selected-b0.60-s0.4,5,20,30.58275022492244,0.8276850859324136,0.000997553364140913,25.621494879418663,34.38903728061937,0.013084387383423745,0.03068806752562523,0.009681912132435855,4.7448277473383094e-05,-7.55534012569115e-05,0.0053149808457142456,0.022671636878456525,-4.3486710637807846e-05,1.1416152119643475e-06
test,FreqFusion-expandedbest-b0.30-s0.5,5,20,30.583534217705385,0.8276364485422769,0.0009821745683439077,25.621099756871576,34.3932638810814,0.013076355890370905,0.03069164293507735,0.010465904915381685,-1.1891126633356564e-06,-9.093219705391675e-05,0.004919858298627844,0.026898237340489572,-5.151820369064808e-05,4.717024664084579e-06
