split,sequence,frame,method,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae
all40,000,00000020,BasicVSR,27.32845161076756,0.7371783057848612,0.0014153587399050593,22.637901825602608,30.220555027886597,0.017910655587911606
all40,000,00000040,BasicVSR,26.993668472045012,0.7754594683647156,0.0015974274137988687,21.922718535673233,30.496706375800635,0.017034821212291718
all40,000,00000060,BasicVSR,27.36698848269679,0.7831323345502218,0.0019827871583402157,22.55557944767672,30.438411540050208,0.01719939336180687
all40,000,00000080,BasicVSR,27.126253636341666,0.7796631256739298,0.0018090058583766222,22.441893954421175,30.00944579726985,0.017755592241883278
all40,003,00000020,BasicVSR,31.423524630968394,0.9130290150642395,0.0018701332155615091,25.823416372212833,36.08353065678788,0.008831152692437172
all40,003,00000040,BasicVSR,30.58931517779036,0.902614156405131,0.001626366749405861,25.00462207675359,35.2059662058333,0.009640793316066265
all40,003,00000060,BasicVSR,29.943516638284756,0.8898259401321411,0.002058587968349457,24.688190583728627,33.79928993977907,0.010374831035733223
all40,003,00000080,BasicVSR,29.284284738466198,0.8793851733207703,0.0025257801171392202,24.189887621953194,32.829527589725956,0.01181753259152174
all40,006,00000020,BasicVSR,30.970646658223217,0.8513255715370178,0.0007365167257376015,25.628877698869292,35.009065186153336,0.010403912514448166
all40,006,00000040,BasicVSR,29.798444472702354,0.8257935444513956,0.000870196963660419,24.74128795097686,33.277622420599435,0.01234476175159216
all40,006,00000060,BasicVSR,30.235421935489452,0.8331560691197714,0.0008517964161001146,25.183205920898814,33.70543866539583,0.011458861641585827
all40,006,00000080,BasicVSR,27.38404144115789,0.7541727224985758,0.001443057437427342,23.22667941739876,29.61086878217724,0.018398506566882133
all40,010,00000020,BasicVSR,32.06576670573902,0.889223059018453,0.0008068291353993118,26.224223799550753,37.43802060137979,0.008561167865991592
all40,010,00000040,BasicVSR,31.318137145744945,0.8721464276313782,0.0007662795833311975,25.557014337757945,36.434657153228216,0.009427689015865326
all40,010,00000060,BasicVSR,30.90363837194676,0.8664594690004984,0.0007555379415862262,25.210584770870224,35.816612474087684,0.00949004851281643
all40,010,00000080,BasicVSR,31.263054558787186,0.8772465189297994,0.0007814678247086704,25.45471123107103,36.52728601705925,0.009151805192232132
all40,011,00000020,BasicVSR,24.561011873960673,0.6899250745773315,0.0020925942808389664,20.774276612880612,26.41779787753656,0.025901926681399345
all40,011,00000040,BasicVSR,23.882633971723173,0.6589502096176147,0.002105416962876916,20.34227424742012,25.525202982435232,0.028608020395040512
all40,011,00000060,BasicVSR,22.98361731182899,0.6169853607813517,0.002048369962722063,19.812088790056144,24.344087220843015,0.03265683352947235
all40,011,00000080,BasicVSR,22.73959557867384,0.6186747749646505,0.0018739158986136317,19.43510771627708,24.19699596338269,0.03319176658987999
all40,018,00000020,BasicVSR,23.882594416316664,0.5952807267506918,0.0016843808116391301,20.934884582968515,25.090752412748586,0.031028196215629578
all40,018,00000040,BasicVSR,24.4330821199326,0.619265059630076,0.0015260570216923952,21.310611811079863,25.75895683541884,0.0283182505518198
all40,018,00000060,BasicVSR,24.855955064686682,0.6437223752339681,0.0015100619057193398,21.530784216427836,26.328757031314638,0.026110008358955383
all40,018,00000080,BasicVSR,25.322746355990326,0.6454180280367533,0.001353774219751358,22.028398620914018,26.77251719290777,0.02500760741531849
all40,020,00000020,BasicVSR,28.386868889149042,0.8056970636049906,0.0009711247403174639,23.122461630728072,32.261276946619155,0.014319336041808128
all40,020,00000040,BasicVSR,26.859277287591638,0.7817493279774984,0.0013175301719456911,21.69680720713949,30.531873792829085,0.017234032973647118
all40,020,00000060,BasicVSR,27.03385077331127,0.7770018776257833,0.0011818547500297427,21.925558929382973,30.604601522438955,0.017118485644459724
all40,020,00000080,BasicVSR,27.19144923128834,0.7834442059199015,0.0011681829346343875,22.065959922323046,30.794469310860165,0.016752716153860092
all40,026,00000020,BasicVSR,32.05514164841243,0.8628972371419271,0.0008099687984213233,27.004930981031432,35.52140617772271,0.009020914323627949
all40,026,00000040,BasicVSR,33.36932707864239,0.8839859366416931,0.0007221790729090571,28.55450393014559,36.4458671201492,0.007807828485965729
all40,026,00000060,BasicVSR,32.469521402138696,0.8732489546140035,0.0007698388653807342,27.442945720285643,35.894182527049914,0.008314802311360836
all40,026,00000080,BasicVSR,33.57141214225554,0.8922181328137716,0.0007375444984063506,28.673733683355202,36.778593524081245,0.007462046574801207
all40,028,00000020,BasicVSR,33.36960990412497,0.9295997222264608,0.0010921208886429667,27.24942899358872,39.81327461443228,0.006773779634386301
all40,028,00000040,BasicVSR,32.92486596112158,0.8794891039530436,0.0011078479001298547,27.82217069062571,36.48534101426334,0.008794092573225498
all40,028,00000060,BasicVSR,32.973211591793216,0.8995495041211446,0.0013949604472145438,27.699649577651314,36.86670732942901,0.008145644329488277
all40,028,00000080,BasicVSR,34.741826877847664,0.9336120088895162,0.001156251528300345,29.27729115458448,39.06099094613625,0.006059542763978243
all40,029,00000020,BasicVSR,35.232299113285,0.9386029243469238,0.0007763443281874061,29.497222527978497,40.26842989707892,0.006007945630699396
all40,029,00000040,BasicVSR,33.628532909588706,0.9313698609670004,0.0008996105170808733,27.643097224076097,39.5152295269755,0.00671687675639987
all40,029,00000060,BasicVSR,33.4379769339205,0.9320085644721985,0.0006210695137269795,27.21850880225403,40.36236206462655,0.00637371139600873
all40,029,00000080,BasicVSR,35.34076215080957,0.9416732986768087,0.0005320216296240687,29.195705113158155,41.899814592401015,0.005518576595932245
all40,000,00000020,FUGR-C,27.33649900109118,0.7373737692832947,0.0014340576017275453,22.6469678414715,30.22714897941922,0.01789448969066143
all40,000,00000040,FUGR-C,27.006627421968872,0.7757394711176554,0.0016195357311517,21.937133083996272,30.50704007569829,0.017005905508995056
all40,000,00000060,FUGR-C,27.384174317137607,0.7835155526796976,0.0019899161998182535,22.573250671102496,30.454856063299335,0.017166685312986374
all40,000,00000080,FUGR-C,27.13094473888505,0.7797750035921732,0.001816233736462891,22.445565356350137,30.015597775561616,0.017746923491358757
all40,003,00000020,FUGR-C,31.44090661428997,0.9133074084917704,0.0018536755815148354,25.837963226864098,36.108455184658766,0.008812269195914268
all40,003,00000040,FUGR-C,30.59401392133832,0.9028745492299398,0.0016104058595374227,25.00376173122856,35.2252571683071,0.00962421577423811
all40,003,00000060,FUGR-C,29.96797356278058,0.8901656071345011,0.0020337041933089495,24.711776797346733,33.82551234919079,0.010343939997255802
all40,003,00000080,FUGR-C,29.323673706064373,0.8797687689463297,0.0024936010595411062,24.229081010148686,32.869270524274164,0.011774790473282337
all40,006,00000020,FUGR-C,30.986371520948186,0.8515528043111166,0.0007267528562806547,25.64106071078659,35.03248786432509,0.010389537550508976
all40,006,00000040,FUGR-C,29.821062672124107,0.8261005878448486,0.0008621991728432477,24.7622237476935,33.30324454052205,0.012324228882789612
all40,006,00000060,FUGR-C,30.251030067003896,0.8333649436632792,0.0008437603246420622,25.197022999972507,33.724229897005486,0.011443134397268295
all40,006,00000080,FUGR-C,27.39789236104589,0.7544846137364706,0.0014576568501070142,23.2432255208675,29.621792181064173,0.018371110782027245
all40,010,00000020,FUGR-C,32.083644062946675,0.8895513415336609,0.0008029616437852383,26.238254953211225,37.468643757924795,0.008538872934877872
all40,010,00000040,FUGR-C,31.340216542150433,0.8724625507990519,0.0007564236875623465,25.57666835627204,36.464164994299225,0.009405002929270267
all40,010,00000060,FUGR-C,30.917068974871604,0.8667839765548706,0.0007506170659326017,25.220290103033385,35.840779651970486,0.009474697522819042
all40,010,00000080,FUGR-C,31.282433418429783,0.8775854508082072,0.0007777555147185922,25.47120285112007,36.55592580714295,0.009127069264650345
all40,011,00000020,FUGR-C,24.56526715416688,0.6900418202082316,0.0021166419610381126,20.777999468030657,26.422536545943046,0.025880349799990654
all40,011,00000040,FUGR-C,23.88936214713885,0.659129003683726,0.0021296802442520857,20.350957281528817,25.530318729440864,0.028579313308000565
all40,011,00000060,FUGR-C,22.985238843639802,0.6168327728907267,0.0020672136452049017,19.813838373780097,24.345618614900438,0.03264673054218292
all40,011,00000080,FUGR-C,22.739565936699687,0.6184427340825399,0.0018887663027271628,19.434387204251145,24.197484496466593,0.033187661319971085
all40,018,00000020,FUGR-C,23.88807280798344,0.5952177246411642,0.00169080076739192,20.942767130893177,25.094665140420176,0.031010793522000313
all40,018,00000040,FUGR-C,24.43961924032996,0.6192031900087992,0.001531012007035315,21.319265752745494,25.764018982682376,0.028301741927862167
all40,018,00000060,FUGR-C,24.861467393019346,0.6436895132064819,0.001511197304353118,21.535849744811706,26.33460804725466,0.026100659742951393
all40,018,00000080,FUGR-C,25.327790339536854,0.6453585624694824,0.0013650518376380205,22.035061684880453,26.776356660621502,0.024998607113957405
all40,020,00000020,FUGR-C,28.387460713426425,0.8057632446289062,0.000978454714640975,23.12141500029547,32.265232000014905,0.014315417036414146
